name	SRR1944912_cds_rpm	SRR1944913_cds_rpm	SRR1944914_cds_rpm	SRR1944915_cds_rpm	SRR1944916_cds_rpm	SRR1944917_cds_rpm
NM_001181556.1	70.47	81.75	75.01	88.94	76.26	88.97
NM_001181557.1	53.1	54.35	54.97	46.91	48.68	43.71
NM_001181558.1	31.62	32.77	38.13	38.85	39.02	39.43
NM_001181559.1	8.41	8.67	8.5	9.17	8.32	8.01
NM_001181560.1	10.07	10.56	12.12	11.46	9.61	10.75
NM_001181561.2	48.92	52.91	47.82	57.32	55.21	59.19
NM_001181562.1	14.95	14.04	14.31	12.13	13.07	13.39
NM_001181563.2	1370.84	1378.13	1253.73	1322.08	1275.27	1231.98
NM_001181564.1	6.0	7.63	7.91	7.67	9.41	8.65
NM_001181565.1	5.52	5.19	5.05	4.94	4.16	3.37
NM_001181566.1	13.72	13.41	13.05	11.55	11.98	11.75
NM_001181567.1	34.83	36.39	36.37	41.58	40.26	46.26
NM_001181569.1	750.74	693.58	629.85	683.31	707.53	675.73
NM_001181570.1	10.02	9.53	11.53	11.38	10.2	9.38
NM_001181571.1	2396.37	2324.29	2259.8	2306.33	2310.48	2286.38
NM_001181572.1	9.22	9.3	10.94	8.38	8.07	7.01
NM_001181573.1	44.53	48.12	45.21	55.65	50.11	48.9
NM_001181574.1	17.52	19.82	15.99	26.15	26.69	27.41
NM_001181576.1	59.21	60.22	66.67	75.71	72.84	84.97
NM_001181577.1	1.93	1.22	1.85	2.69	1.73	2.09
NM_001181578.1	61.46	66.36	69.53	79.32	74.33	75.04
NM_001181579.1	11.95	14.49	12.21	15.17	13.96	15.21
NM_001181580.1	2.63	3.79	4.97	3.57	3.91	3.28
NM_001181581.1	87.35	90.96	86.37	96.21	91.51	84.24
NM_001181582.1	15.59	15.35	16.67	18.61	16.99	15.39
NM_001181584.1	64.62	57.78	64.57	79.01	88.99	86.88
NM_001181586.1	0.8	0.63	0.42	0.97	1.34	0.91
NM_001181587.1	59.8	62.61	69.53	60.36	59.18	62.11
NM_001181588.1	9.75	7.99	11.11	9.74	9.8	12.39
NM_001181589.1	17.95	21.49	20.88	21.52	21.05	20.49
NM_001181590.1	55.41	58.01	61.62	55.03	51.4	54.28
NM_001181591.1	876.4	859.93	841.24	667.44	655.24	788.66
NM_001181592.1	2176.78	2210.76	1874.24	2314.8	2072.14	2497.48
NM_001181593.1	0.32	0.5	0.84	1.41	1.29	0.91
NM_001181594.1	0.75	0.81	1.01	0.49	0.79	0.36
NM_001181595.1	7.93	7.72	10.61	11.11	12.33	9.2
NM_001181596.1	2.57	3.39	4.21	3.04	2.38	3.28
NM_001181597.2	15.33	17.29	15.83	17.28	15.4	16.57
NM_001181598.1	37.4	42.16	33.42	49.91	41.4	43.35
NM_001181599.1	36.01	42.75	37.88	45.37	46.4	35.61
NM_001181600.1	271.04	271.72	283.61	262.4	274.68	270.57
NM_001181601.2	35.69	42.16	39.31	42.9	40.51	40.34
NM_001181603.1	4.18	6.23	5.14	4.45	3.76	5.65
NM_001181604.2	110.55	108.8	107.75	128.44	131.92	135.87
NM_001181605.1	187.5	193.98	215.42	196.57	199.76	244.98
NM_001181606.1	41.48	42.12	39.73	52.29	48.33	41.8
NM_001181607.1	93.45	94.8	91.93	90.88	102.51	91.25
NM_001181609.1	46.03	54.13	37.12	48.68	39.86	44.9
NM_001181610.1	948.26	989.22	865.06	993.5	980.34	868.71
NM_001181611.1	53.48	55.26	54.89	55.91	57.24	55.83
NM_001181612.2	23.42	23.84	21.3	30.51	27.14	23.86
NM_001181613.1	11.74	11.47	13.3	11.6	10.0	11.93
NM_001181614.1	8.15	8.31	8.08	8.77	7.48	7.65
NM_001181616.2	58.52	61.8	64.57	65.96	67.99	72.13
NM_001181617.1	16.93	17.38	17.34	17.99	20.01	19.49
NM_001181618.1	2.3	1.67	4.29	2.78	2.38	3.73
NM_001181619.2	115.37	125.81	122.15	112.13	105.82	110.38
NM_001181620.1	14.09	15.48	12.46	16.53	12.68	14.48
NM_001181622.1	564.1	545.51	561.08	481.8	514.36	490.13
NM_001181623.1	1365.7	1374.21	1150.86	1361.37	1350.94	1061.14
NM_001181624.1	598.45	563.3	471.0	642.08	618.3	561.35
NM_001181625.1	64.89	68.8	67.94	66.32	70.91	68.94
NM_001181626.1	12.06	11.01	11.53	10.27	10.05	10.56
NM_001181627.1	19.77	19.64	20.54	22.05	22.73	23.68
NM_001181629.1	93.4	105.95	109.94	126.37	125.78	151.81
NM_001181630.1	37.14	48.17	43.61	49.52	44.37	45.53
NM_001181631.1	57.82	60.72	63.73	60.67	63.14	59.1
NM_001181633.1	115.69	111.82	123.5	208.6	202.19	218.11
NM_001181634.1	20.52	22.03	24.24	26.32	24.22	23.04
NM_001181636.1	12.22	11.6	13.22	16.98	15.3	16.21
NM_001181637.1	23.42	28.12	22.9	28.13	25.7	24.13
NM_001181638.1	4.02	4.2	4.63	6.35	5.35	6.01
NM_001181639.1	4.98	4.92	4.55	4.45	4.56	3.55
NM_001181640.1	48.28	52.68	59.85	59.44	55.96	57.28
NM_001181641.1	19.93	21.49	21.89	19.93	22.98	21.58
NM_001181642.1	5.73	6.05	7.16	5.51	5.2	6.74
NM_001181643.1	5.09	6.59	6.57	6.17	6.98	6.92
NM_001181645.1	91.31	99.45	94.96	111.33	104.54	122.4
NM_001181646.1	0.0	0.05	0.08	0.04	0.0	0.18
NM_001181647.1	0.59	0.9	1.09	0.84	0.69	1.73
NM_001181649.1	0.21	0.0	0.08	0.18	0.0	0.0
NM_001181650.1	129.36	131.19	124.51	162.48	158.46	119.3
NM_001181651.1	7.39	7.85	8.08	7.01	5.89	6.28
NM_001181652.1	0.54	0.36	0.84	0.79	0.69	1.09
NM_001181654.1	1.93	2.08	2.86	1.72	1.83	2.82
NM_001181655.1	20.31	22.08	20.37	27.03	27.78	22.49
NM_001181656.1	0.0	0.05	0.0	0.04	0.0	0.09
NM_001181657.1	1.07	1.13	1.52	1.46	2.13	1.64
NM_001181658.1	66.29	73.18	66.76	82.67	80.77	78.41
NM_001181659.3	58.68	66.45	66.25	73.99	63.38	70.31
NM_001181660.1	19.24	20.77	24.67	18.87	19.71	18.85
NM_001181661.1	0.96	0.86	0.17	0.57	0.69	0.46
NM_001181662.3	19.93	21.53	26.6	24.07	24.61	24.22
NM_001181663.1	16.45	17.06	19.03	24.82	23.37	25.59
NM_001181664.3	187.44	207.75	218.12	173.29	164.6	160.01
NM_001181665.1	2.36	1.44	1.68	2.56	2.53	2.55
NM_001181666.1	9621.45	8745.47	9540.91	7981.63	8040.48	8535.63
NM_001181667.1	17.42	21.94	22.14	20.59	19.76	18.76
NM_001181668.3	6.48	7.99	10.27	13.62	12.88	14.21
NM_001181669.1	5.95	6.05	6.65	7.05	6.59	5.92
NM_001181670.4	4.23	5.64	6.06	5.42	5.94	5.74
NM_001181671.1	20.04	20.36	20.29	20.59	19.11	22.95
NM_001181672.1	86.97	93.58	89.07	78.97	81.16	67.57
NM_001181673.3	118.16	129.52	119.54	122.4	118.25	122.4
NM_001181674.1	518.82	513.46	535.57	606.98	630.09	680.83
NM_001181675.1	31.83	35.66	33.84	33.33	36.15	34.61
NM_001181677.3	8.2	7.85	8.08	8.73	10.6	11.66
NM_001181679.1	3.8	3.93	3.28	3.66	3.61	3.46
NM_001181680.1	5.84	3.84	5.22	5.91	5.0	5.74
NM_001181682.3	31.35	32.14	34.94	32.19	35.85	36.34
NM_001181683.1	24.54	30.92	25.93	25.62	27.14	22.13
NM_001181684.3	0.0	0.0	0.0	0.0	0.05	0.0
NM_001181685.2	4.07	2.89	4.8	1.01	1.58	3.01
NM_001181686.1	0.0	0.05	0.0	0.0	0.0	0.0
NM_001181687.2	4.55	7.54	6.99	4.06	4.16	4.19
NM_001181688.3	11.41	13.95	14.98	13.45	13.12	11.11
NM_001181689.1	37.24	42.39	39.65	45.2	42.19	45.53
NM_001181690.1	38.47	38.46	45.46	45.94	43.78	43.35
NM_001181691.3	23.47	25.64	24.83	31.97	31.64	33.42
NM_001181692.1	8.9	8.13	8.75	9.74	9.46	11.66
NM_001181693.1	9.32	10.74	10.19	11.95	11.29	11.38
NM_001181694.3	1.61	1.4	1.52	1.81	1.68	1.55
NM_001181697.1	4.77	3.93	5.3	3.84	3.57	5.65
NM_001181698.1	34.46	37.47	39.14	38.49	37.59	37.43
NM_001181699.3	58.46	64.19	65.16	62.66	59.18	60.2
NM_001181700.1	48.44	54.85	56.49	73.64	68.09	73.04
NM_001181701.1	16.13	16.97	14.06	16.4	15.4	14.39
NM_001181702.3	25.24	24.33	28.87	26.94	28.33	28.78
NM_001181703.1	1319.72	1343.51	1366.62	1592.42	1468.8	1633.78
NM_001181704.1	24.65	27.27	26.94	33.95	30.4	33.51
NM_001181705.3	190.77	185.81	126.61	168.44	165.69	103.27
NM_001181706.1	24.06	26.32	24.5	33.42	35.21	29.6
NM_001181707.1	29.31	30.43	29.21	28.4	27.24	29.69
NM_001181708.3	9.54	10.34	8.08	8.25	9.46	8.47
NM_001181709.1	31.94	31.65	38.56	33.42	29.96	37.43
NM_001181710.1	10.29	12.1	12.8	16.01	16.59	15.21
NM_001181711.3	9.32	11.69	7.83	11.73	8.91	11.38
NM_001181712.1	5.41	6.32	6.06	5.38	6.29	4.46
NM_001181713.1	7.5	7.18	8.5	11.2	9.9	11.66
NM_001181714.3	8.63	11.42	11.95	11.33	10.65	10.66
NM_001181715.1	14.47	16.61	13.89	16.01	15.3	13.75
NM_001181716.1	9.22	9.34	11.11	11.99	12.58	11.93
NM_001181717.3	48.17	51.42	50.59	55.91	51.5	46.08
NM_001181718.1	57.77	61.35	50.85	53.48	44.72	43.26
NM_001181719.1	3.05	2.75	3.11	1.19	1.04	1.09
NM_001181720.3	11.95	13.68	16.33	15.12	15.8	18.12
NM_001181721.1	46.3	45.5	49.08	38.76	38.38	43.8
NM_001181722.1	250.89	266.07	244.3	300.58	283.6	289.87
NM_001181723.3	154.92	150.73	152.12	190.83	184.46	199.62
NM_001181724.1	38.26	45.32	39.82	42.51	37.09	41.16
NM_001181725.1	9.75	9.34	11.2	12.48	11.49	11.47
NM_001181726.3	40.35	41.58	43.35	45.64	45.01	44.44
NM_001181727.1	68.54	69.75	72.82	59.13	61.6	54.46
NM_001181728.1	284.86	273.21	274.52	285.11	280.13	299.53
NM_001181730.3	74.27	72.86	81.32	72.93	74.43	89.34
NM_001181731.1	17.09	18.06	20.46	18.74	19.11	25.41
NM_001181732.1	15.11	18.42	17.85	23.85	23.37	24.68
NM_001181733.3	68.16	73.63	73.15	67.37	70.91	70.4
NM_001181734.1	62.7	66.81	78.46	80.95	85.02	81.14
NM_001181735.1	145.06	167.03	161.46	170.11	183.22	178.31
NM_001181736.3	1.93	2.44	2.27	2.82	3.91	3.01
NM_001181737.1	0.05	0.0	0.0	0.0	0.0	0.0
NM_001181738.1	18.59	21.17	22.9	23.24	22.73	23.5
NM_001181739.3	6.48	6.59	7.32	6.61	7.77	6.83
NM_001181740.1	12.0	11.87	9.85	12.17	12.28	10.84
NM_001181741.1	10.45	9.84	9.34	13.93	15.05	13.39
NM_001181742.3	58.46	52.01	55.9	58.95	58.38	63.02
NM_001181743.1	21.49	24.38	24.75	28.93	27.48	20.95
NM_001181745.1	53.8	60.49	62.21	69.89	66.6	64.93
NM_001181746.3	12.38	13.95	12.46	14.55	13.77	14.75
NM_001181747.1	26.1	30.65	27.53	35.41	29.46	33.33
NM_001181748.1	56.69	56.16	49.58	63.32	52.89	58.92
NM_001181749.3	95.38	105.77	89.57	116.41	95.67	103.45
NM_001181750.1	19.51	24.65	19.78	24.03	23.37	24.77
NM_001181751.1	7.88	7.22	7.91	6.92	6.64	5.74
NM_001181752.3	529.65	538.06	453.83	520.12	513.52	429.48
NM_001181753.1	0.21	0.27	0.08	0.22	0.4	0.09
NM_001181754.1	12.11	12.69	11.7	16.62	16.44	18.3
NM_001181755.3	8.2	8.98	10.44	9.74	10.7	8.83
NM_001181756.2	6.11	6.41	6.65	6.57	5.1	7.47
NM_001181757.1	14.15	16.97	17.26	22.09	20.15	18.58
NM_001181758.3	9.16	9.25	10.61	13.45	14.56	14.75
NM_001181759.1	21.17	19.37	22.22	27.47	26.05	26.05
NM_001181760.1	6.0	7.31	5.98	10.23	8.91	9.11
NM_001181761.4	34.88	32.86	35.1	55.47	56.2	60.83
NM_001181762.1	870.02	790.96	778.86	1051.13	1075.96	1213.13
NM_001181763.1	458.97	447.19	427.56	418.97	420.67	459.44
NM_001181764.4	7.72	8.17	8.5	6.53	6.09	7.01
NM_001181765.2	0.05	0.0	0.0	0.0	0.0	0.0
NM_001181766.1	1.23	1.13	1.26	1.1	1.49	1.18
NM_001181767.3	150.85	138.54	144.71	456.45	437.41	433.31
NM_001181768.1	7.66	6.95	7.58	8.07	7.13	6.19
NM_001181769.1	9.59	9.57	11.03	11.68	12.78	13.75
NM_001181770.3	6.22	6.68	6.82	7.5	7.28	9.29
NM_001181771.1	13.4	15.71	15.74	15.74	17.63	19.03
NM_001181773.3	0.7	0.95	0.76	0.31	0.69	0.55
NM_001181774.1	14.74	13.41	13.89	10.76	13.27	13.11
NM_001181775.1	113.07	123.56	125.94	104.28	109.24	111.38
NM_001181776.3	30.06	32.68	35.69	36.64	37.73	37.07
NM_001181777.1	3.91	5.37	4.55	3.92	4.01	3.92
NM_001181778.1	2.3	3.25	4.88	2.91	3.52	3.55
NM_001181779.3	400.45	429.54	415.52	487.62	498.22	500.15
NM_001181780.1	8.52	6.23	6.23	6.83	7.73	7.83
NM_001181781.1	2986.46	2921.76	2705.63	2661.19	2709.66	2626.52
NM_001181782.3	28.99	29.21	33.59	35.58	30.6	33.97
NM_001181783.1	74.38	79.5	78.79	102.52	98.74	97.17
NM_001181784.1	28.67	32.95	36.37	33.78	36.5	38.43
NM_001181785.3	20.26	18.19	17.26	26.37	25.8	24.77
NM_001181787.2	6.64	5.96	6.15	4.89	5.3	4.92
NM_001181788.1	7.13	8.13	8.84	10.41	10.8	11.2
NM_001181789.3	29.58	29.21	32.83	30.73	30.26	30.33
NM_001181790.2	56.96	64.87	63.05	55.87	52.74	53.46
NM_001181791.1	24.7	22.39	25.25	23.59	24.86	24.13
NM_001181792.3	20.2	19.41	21.13	19.53	15.6	15.85
NM_001181793.1	2.68	3.79	2.95	2.78	3.07	1.91
NM_001181794.3	6.7	6.37	6.48	7.23	7.23	7.01
NM_001181795.1	35.53	41.85	35.02	40.3	39.32	40.43
NM_001181796.2	15.75	18.1	18.1	22.18	19.02	20.67
NM_001181797.3	450.87	473.73	481.02	487.4	465.53	477.2
NM_001181798.1	23.58	25.19	24.92	25.66	23.87	24.04
NM_001181799.1	3.59	4.06	4.63	3.57	3.71	4.01
NM_001181800.3	24.6	26.82	30.39	23.37	24.26	23.31
NM_001181801.1	210.65	219.08	220.98	207.59	197.29	206.36
NM_001181802.1	43.19	41.58	38.05	45.5	43.97	44.08
NM_001181803.3	2938.18	2804.21	3004.89	2416.34	2598.19	2553.03
NM_001181805.1	7.29	7.76	9.77	8.99	9.31	8.38
NM_001181806.1	257.96	270.0	243.12	229.28	209.71	237.51
NM_001181807.4	0.16	0.27	0.59	0.31	0.05	0.18
NM_001181808.4	0.43	0.36	1.35	0.18	0.3	1.18
NM_001181809.2	0.05	0.09	0.08	0.0	0.0	0.0
NM_001181810.3	0.16	0.09	0.34	0.04	0.05	0.0
NM_001181811.3	0.32	0.05	0.76	0.13	0.05	0.0
NM_001181812.1	0.05	0.41	0.51	0.22	0.3	0.36
NM_001181813.1	0.0	0.14	0.0	0.4	0.0	0.27
NM_001181814.3	0.54	0.5	1.01	0.79	1.19	1.73
NM_001181816.3	0.0	0.09	0.0	0.04	0.0	0.0
NM_001181817.1	1.29	1.72	1.6	1.54	2.38	1.73
NM_001181818.1	0.54	0.18	0.59	0.31	0.2	0.09
NM_001181819.3	6.59	6.32	6.48	7.8	5.94	7.1
NM_001181821.1	55.09	62.66	54.89	87.92	83.39	82.78
NM_001181822.1	7.82	6.86	9.68	6.31	6.04	6.56
NM_001181823.1	3.59	5.42	5.72	5.16	5.15	3.64
NM_001181824.1	15.27	14.81	15.74	17.2	19.61	19.31
NM_001181825.1	0.0	0.0	0.0	0.09	0.05	0.18
NM_001181826.1	14.47	15.89	16.75	16.67	15.5	16.39
NM_001181827.1	8.52	11.24	9.93	10.14	12.28	9.47
NM_001181828.1	128.93	137.46	122.06	158.73	139.79	158.82
NM_001181829.1	13.99	13.63	13.55	19.67	16.49	19.67
NM_001181830.1	28.94	27.18	29.46	32.32	35.46	32.97
NM_001181831.1	51.34	52.14	55.48	54.41	50.91	56.64
NM_001181832.1	15.0	17.83	18.02	13.58	11.69	12.75
NM_001181833.1	60.5	65.64	67.85	54.45	52.04	64.48
NM_001181834.1	34.51	37.2	35.86	32.76	33.43	31.6
NM_001181835.1	42.82	47.17	49.75	55.29	47.79	55.55
NM_001181838.1	608.15	584.15	599.97	695.21	678.17	690.67
NM_001181839.1	6.22	6.59	7.49	11.73	11.19	11.2
NM_001181841.1	116.34	129.7	103.38	152.12	128.8	132.96
NM_001181842.1	26.36	28.21	31.4	27.82	30.65	30.33
NM_001181843.1	35.21	37.29	37.55	37.74	35.6	39.07
NM_001181844.1	9271.64	9503.38	10042.3	11413.96	10836.84	10935.02
NM_001181845.1	0.96	0.27	0.51	0.53	0.59	0.55
NM_001181846.1	328.27	376.45	405.51	659.72	558.43	525.74
NM_001181847.1	18.76	21.04	19.11	25.49	23.72	22.13
NM_001181848.1	43.62	40.4	45.96	46.12	40.95	53.28
NM_001181849.1	72.29	71.51	75.51	78.13	77.15	79.59
NM_001181851.1	64.3	71.91	71.13	67.59	67.45	64.66
NM_001181852.1	18.33	18.82	21.05	16.67	15.6	17.21
NM_001181853.1	3.59	3.66	2.86	3.84	4.9	5.1
NM_001181854.1	72.98	67.44	86.54	80.6	82.2	83.42
NM_001181855.1	16.45	15.76	17.59	15.52	17.73	16.85
NM_001181856.1	21.27	25.05	25.17	23.59	26.79	23.95
NM_001181858.1	10.93	10.02	8.25	10.85	9.56	7.74
NM_001181859.1	156.63	161.43	196.99	421.18	406.85	370.65
NM_001181860.1	142.32	168.75	153.97	176.68	151.13	157.91
NM_001181861.1	16.45	18.82	19.61	26.76	30.95	27.5
NM_001181862.1	0.64	0.59	0.84	0.31	0.69	0.55
NM_001181863.1	53.37	48.39	50.51	61.64	58.14	63.11
NM_001181865.1	2515.33	2400.63	2152.97	2235.47	2280.52	2052.97
NM_001181866.1	0.16	0.5	0.42	0.09	0.2	0.46
NM_001181868.1	157.49	172.9	175.86	169.98	149.94	151.81
NM_001181869.1	3.59	4.92	9.51	6.08	5.99	5.46
NM_001181870.1	428.21	424.89	418.81	483.04	477.91	442.96
NM_001181871.1	24.01	21.26	25.09	24.56	22.48	23.04
NM_001181872.1	2.79	1.13	1.26	0.71	0.59	0.27
NM_001181873.1	0.0	0.09	0.0	0.04	0.0	0.09
NM_001181874.2	6.0	7.18	6.99	8.11	6.73	7.29
NM_001181875.1	0.86	1.08	0.76	1.01	0.59	0.55
NM_001181876.1	1.61	2.62	2.02	0.88	1.29	0.64
NM_001181877.1	0.16	0.81	0.51	0.71	0.3	0.09
NM_001181878.1	17.52	19.46	18.52	17.77	15.65	15.75
NM_001181880.1	1.93	1.31	1.68	2.78	3.27	6.47
NM_001181881.1	23.95	22.8	20.71	22.44	19.76	28.41
NM_001181882.1	7.02	7.99	8.67	7.41	5.55	5.28
NM_001181883.1	3.91	3.66	4.29	4.06	4.46	4.19
NM_001181884.1	0.0	0.0	0.0	0.04	0.0	0.0
NM_001181886.1	0.16	0.05	0.0	0.09	0.1	0.0
NM_001181887.1	0.16	0.05	0.0	0.09	0.1	0.09
NM_001181888.1	22.08	23.56	22.39	20.11	21.39	19.85
NM_001181889.1	70.57	78.87	72.31	61.86	61.8	59.19
NM_001181890.1	37.56	42.21	43.69	27.16	26.29	26.59
NM_001181891.1	0.8	1.44	1.68	1.81	1.29	1.37
NM_001181892.1	23.52	25.01	25.0	28.26	26.44	27.14
NM_001181893.1	12.16	13.09	13.39	17.02	14.91	16.03
NM_001181894.1	6.48	8.13	7.74	8.02	7.73	7.47
NM_001181895.1	30.33	31.37	35.69	36.46	33.18	33.33
NM_001181896.1	76.79	83.42	81.15	83.78	82.55	78.77
NM_001181897.1	1.13	0.95	1.35	1.41	1.49	1.27
NM_001181898.1	4.72	5.69	6.9	3.13	5.0	4.28
NM_001181899.1	0.05	0.05	0.0	0.0	0.0	0.0
NM_001181900.1	0.0	0.05	0.0	0.0	0.05	0.0
NM_001181901.1	5.25	6.0	6.4	6.31	5.79	6.74
NM_001181902.1	11.15	13.09	13.89	15.52	12.53	17.21
NM_001181903.1	6.22	7.45	5.64	7.32	9.51	7.65
NM_001181904.1	95.6	95.84	110.11	112.3	123.6	142.34
NM_001181905.1	22.83	23.84	25.42	22.97	26.25	24.41
NM_001181906.1	25.72	25.51	24.41	37.96	36.84	32.15
NM_001181907.1	18.65	20.0	21.3	20.37	20.75	22.31
NM_001181908.1	10.72	9.93	10.52	15.17	15.0	14.48
NM_001181909.1	39.55	39.23	41.92	47.18	41.99	41.98
NM_001181910.1	16.34	20.5	18.6	21.43	22.18	19.49
NM_001181911.2	16.29	17.24	20.37	20.94	22.78	24.32
NM_001181912.1	38.42	42.3	41.75	49.74	47.34	46.63
NM_001181913.1	33.28	35.3	35.44	34.04	37.54	39.16
NM_001181914.1	347.02	335.41	353.9	446.93	436.91	465.45
NM_001181915.1	142.97	145.05	149.68	154.94	146.78	162.56
NM_001181916.1	2881.01	2770.49	2542.56	2638.04	2651.47	2330.55
NM_001181917.1	0.64	0.45	0.42	0.97	0.45	0.82
NM_001181918.1	0.05	0.05	0.08	0.18	0.0	0.09
NM_001181919.1	24.65	26.32	25.17	30.47	29.27	27.78
NM_001181920.1	30.06	30.29	35.69	26.1	24.66	24.77
NM_001181921.2	98.01	90.51	94.45	83.64	83.39	89.61
NM_001181922.1	3.86	3.25	4.21	3.75	4.16	3.92
NM_001181923.1	7.02	8.89	9.18	7.36	9.56	9.56
NM_001181924.1	0.48	0.23	0.42	0.57	0.3	0.73
NM_001181925.1	24.54	23.88	20.04	35.32	33.62	24.86
NM_001181926.1	26.31	25.87	28.45	29.1	30.36	28.87
NM_001181927.1	7.88	10.29	9.26	4.1	4.51	5.65
NM_001181929.1	9.97	10.56	10.19	7.36	9.41	8.56
NM_001181930.1	212.74	204.09	213.99	213.98	224.77	224.03
NM_001181931.1	22024.72	21168.73	22620.6	19311.9	19751.73	21429.73
NM_001181932.1	32.04	34.94	32.49	36.82	33.03	35.43
NM_001181933.1	0.21	0.14	0.17	0.26	0.05	0.09
NM_001181934.1	10.02	8.31	8.59	9.74	8.62	8.92
NM_001181935.1	1857.3	1795.98	1847.13	1666.98	1679.45	1798.98
NM_001181936.1	29.74	34.04	33.42	37.52	37.19	34.15
NM_001181937.1	14.74	14.31	14.23	11.95	13.27	12.29
NM_001181938.1	31.03	33.59	29.97	43.48	38.43	35.15
NM_001181939.1	19.18	17.65	16.75	22.58	21.24	18.76
NM_001181940.1	0.0	0.0	0.0	0.04	0.0	0.0
NM_001181941.1	0.75	0.77	0.93	1.28	0.99	1.27
NM_001181942.1	26.9	28.71	26.85	32.45	28.28	35.97
NM_001181943.1	298.05	297.22	331.01	308.7	305.49	283.86
NM_001181944.1	19.08	20.5	20.2	17.68	17.43	21.04
NM_001181945.1	755.89	663.88	505.6	752.05	803.8	619.63
NM_001181946.1	28.62	28.98	31.48	20.64	26.59	28.14
NM_001181947.1	444.39	443.85	448.95	506.72	490.39	499.6
NM_001181948.1	1419.66	1326.4	1255.75	1152.06	1212.68	1135.63
NM_001181950.1	16.34	16.52	21.63	16.31	16.99	16.85
NM_001181951.1	27.11	30.97	31.99	33.95	31.25	30.96
NM_001181952.1	30.81	32.28	30.22	25.35	27.04	25.14
NM_001181953.1	27.6	32.1	35.61	39.11	35.21	31.69
NM_001181954.1	6.11	5.96	9.26	7.63	6.44	6.37
NM_001181955.1	10.72	12.91	11.2	17.64	15.5	15.48
NM_001181956.1	37.46	36.93	41.5	35.72	33.97	35.52
NM_001181957.1	2.14	1.22	1.52	2.47	1.68	2.55
NM_001181958.1	40.35	41.31	39.9	47.8	46.89	45.53
NM_001181959.1	18.33	20.09	18.94	22.22	23.22	22.31
NM_001181960.1	15.06	13.27	15.66	14.15	15.4	15.03
NM_001181961.1	43.57	43.2	43.35	57.5	54.42	57.28
NM_001181962.1	3602.92	3509.35	3412.34	3604.25	3809.14	3530.02
NM_001181964.1	15.97	16.21	16.67	16.14	15.35	14.84
NM_001181965.1	22.72	27.27	25.34	32.1	30.8	26.68
NM_001181966.1	31.56	32.05	30.98	40.57	35.9	36.52
NM_001181967.1	2.79	4.11	4.63	3.84	3.52	3.01
NM_001181968.1	2.41	1.76	2.27	1.63	1.58	1.91
NM_001181969.1	7.56	10.02	10.27	11.11	12.97	12.39
NM_001181970.1	161.24	175.38	171.48	164.25	162.92	166.02
NM_001181971.1	57.82	72.86	57.41	62.88	54.72	56.1
NM_001181972.1	12.11	12.14	14.98	11.55	12.68	11.66
NM_001181973.1	35.42	36.39	32.66	40.21	32.48	34.42
NM_001181974.1	11.57	13.68	15.66	15.74	13.12	12.66
NM_001181975.1	46.78	54.22	52.95	55.07	53.98	54.1
NM_001181976.1	84.67	84.1	89.15	100.66	101.17	101.45
NM_001181977.1	15.81	15.8	18.1	23.94	23.08	25.86
NM_001181978.1	4.18	4.11	4.8	3.44	3.47	4.19
NM_001181979.1	3.43	1.53	1.6	1.72	1.44	2.19
NM_001181980.1	34.78	38.64	36.96	42.37	46.7	37.34
NM_001181981.1	31.88	34.99	33.0	33.25	34.86	34.33
NM_001181982.1	29.69	32.91	37.55	32.1	30.65	33.42
NM_001181983.1	43.46	44.96	41.92	43.12	43.82	46.45
NM_001181984.1	5.89	7.18	6.65	8.16	7.08	9.74
NM_001181985.1	7.39	7.72	7.91	7.28	7.33	8.11
NM_001181986.1	9.0	8.4	10.1	8.6	8.27	10.2
NM_001181987.1	103.15	107.31	119.12	105.6	105.77	105.18
NM_001181989.1	7.39	8.8	7.91	9.13	8.62	8.2
NM_001181990.1	8.25	11.92	10.69	12.17	11.79	10.75
NM_001181991.1	13.34	13.45	15.49	14.77	13.47	17.39
NM_001181992.1	5.52	7.49	7.32	5.42	5.65	5.74
NM_001181993.1	217.35	214.84	248.0	230.39	207.24	210.46
NM_001181994.1	10.88	11.11	13.47	15.74	15.85	14.66
NM_001181995.1	21.86	20.81	19.87	23.5	23.92	24.77
NM_001181996.1	2512.55	2572.99	2678.1	2643.29	2532.72	2710.67
NM_001181997.1	5292.01	5011.58	5493.83	4142.14	4735.15	5559.95
NM_001182000.1	65.05	69.57	67.18	78.04	74.82	82.51
NM_001182001.1	35.1	35.93	36.79	40.65	36.64	39.07
NM_001182002.1	21.81	24.42	21.8	22.84	24.02	22.59
NM_001182003.1	19.4	21.53	21.97	19.45	19.26	22.22
NM_001182004.1	15.11	17.83	18.44	19.8	20.3	21.31
NM_001182005.1	29.79	31.69	35.69	31.88	29.56	32.88
NM_001182006.1	9.48	9.12	11.62	10.01	11.09	9.93
NM_001182007.1	59.0	59.09	53.96	66.98	64.33	64.75
NM_001182008.1	10.02	10.25	8.5	9.52	11.49	13.48
NM_001182012.1	0.21	0.14	0.25	0.4	0.2	0.46
NM_001182013.1	20.68	18.28	23.23	14.68	15.0	16.85
NM_001182014.1	7.34	7.27	7.66	7.63	5.3	6.65
NM_001182015.1	5.63	5.91	6.31	6.0	6.88	4.64
NM_001182016.1	102.51	103.74	117.27	116.54	112.51	123.03
NM_001182017.1	17.09	21.44	17.26	16.93	18.32	17.12
